file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
KKR24-ST1,0,0,0.0,0.82,0.82,0.922,1,0.756,0.064,0.82,0.099008,0,
KKR24-ST1,1,0,2.14,2.42,0.28,1.0,1,0.28,2.14,2.42,0.103237,0,
KKR24-ST1,2,0,3.49,4.04,0.55,1.0,1,0.55,3.49,4.04,0.121174,0,
KKR24-ST1,4,0,7.37,7.85,0.48,1.0,1,0.48,7.37,7.85,0.075944,0,
KKR24-ST1,5,0,8.2,8.5,0.3,1.0,1,0.3,8.2,8.5,0.068706,0,
KKR24-ST1,7,0,13.29,13.77,0.48,1.0,1,0.48,13.29,13.77,0.122857,0,
KKR24-ST1,9,0,17.84,18.07,0.23,1.0,1,0.23,17.84,18.07,0.235674,0,
KKR24-ST1,10,0,18.62,19.75,1.13,1.0,1,1.13,18.62,19.75,0.104151,0,
KKR24-ST1,11,0,20.58,20.75,0.17,1.0,1,0.17,20.58,20.75,0.089025,0,
KKR24-ST1,12,0,21.58,21.92,0.34,1.0,1,0.34,21.58,21.92,0.258592,0,
KKR24-ST1,13,0,22.12,23.04,0.92,1.0,1,0.92,22.12,23.04,0.102452,0,
KKR24-ST1,14,0,23.84,23.97,0.13,1.0,1,0.13,23.84,23.97,0.144281,0,
KKR24-ST1,15,0,25.57,26.17,0.6,0.9867,1,0.592,25.57,26.162,0.230239,0,
KKR24-ST1,16,0,27.04,27.38,0.34,1.0,1,0.34,27.04,27.38,0.077224,0,
KKR24-ST1,20,0,37.99,38.92,0.93,1.0,1,0.93,37.99,38.92,0.142726,0,
KKR24-ST1,21,0,40.2,41.34,1.14,1.0,1,1.14,40.2,41.34,0.16677,0,
KKR24-ST1,22,0,42.25,42.87,0.62,1.0,1,0.62,42.25,42.87,0.07574,0,
KKR24-ST1,23,0,43.62,44.39,0.77,1.0,1,0.77,43.62,44.39,0.108125,0,
KKR24-ST1,24,0,44.98,45.3,0.32,1.0,1,0.32,44.98,45.3,0.080334,0,
KKR24-ST1,26,0,48.15,48.32,0.17,1.0,1,0.17,48.15,48.32,0.16501,0,
KKR24-ST1,27,0,48.77,49.52,0.75,1.0,1,0.75,48.77,49.52,0.049043,0,
KKR24-ST1,29,0,52.47,52.88,0.41,1.0,1,0.41,52.47,52.88,0.257317,0,
KKR24-ST1,30,0,53.38,54.15,0.77,1.0,1,0.77,53.38,54.15,0.109657,0,
KKR24-ST1,31,0,56.39,56.87,0.48,1.0,1,0.48,56.39,56.87,0.076797,0,
KKR24-ST1,32,0,57.13,57.8,0.67,0.406,2,0.192,57.13,57.322,0.894036,1,
KKR24-ST1,32,1,57.13,57.8,0.67,0.406,2,0.08,57.498,57.578,0.133458,0,
KKR24-ST1,33,0,59.04,59.27,0.23,1.0,1,0.23,59.04,59.27,0.131284,0,
KKR24-ST1,34,0,60.16,60.33,0.17,1.0,1,0.17,60.16,60.33,0.129922,0,
KKR24-ST1,35,0,61.04,61.35,0.31,1.0,1,0.31,61.04,61.35,0.244833,0,
KKR24-ST1,37,0,63.25,63.48,0.23,1.0,1,0.23,63.25,63.48,0.057679,0,
KKR24-ST1,38,0,63.88,64.6,0.72,1.0,1,0.72,63.88,64.6,0.121241,0,
KKR24-ST1,39,0,66.46,66.9,0.44,1.0,1,0.44,66.46,66.9,0.090021,0,
KKR24-ST1,40,0,67.67,67.94,0.27,1.0,1,0.27,67.67,67.94,0.053243,0,
KKR24-ST1,41,0,68.71,68.96,0.25,1.0,1,0.25,68.71,68.96,0.068341,0,
KKR24-ST1,42,0,69.64,69.93,0.29,1.0,1,0.29,69.64,69.93,0.310841,0,
KKR24-ST1,43,0,70.74,71.05,0.31,1.0,1,0.31,70.74,71.05,0.142143,0,
KKR24-ST1,45,0,74.95,75.53,0.58,1.0,1,0.58,74.95,75.53,0.111407,0,
KKR24-ST1,46,0,76.93,77.47,0.54,1.0,1,0.54,76.93,77.47,0.13056,0,
KKR24-ST1,47,0,77.85,78.04,0.19,1.0,1,0.19,77.85,78.04,0.277132,0,
