file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
EAU18-ST2,1,0,4.01,4.46,0.45,1.0,1,0.45,4.01,4.46,0.076265,0,
EAU18-ST2,4,0,12.17,12.48,0.31,1.0,1,0.31,12.17,12.48,0.155721,0,
EAU18-ST2,6,0,19.05,19.93,0.88,1.0,1,0.88,19.05,19.93,0.071083,0,
EAU18-ST2,7,0,20.78,21.39,0.61,1.0,1,0.61,20.78,21.39,0.103609,0,
EAU18-ST2,8,0,22.57,23.55,0.98,1.0,1,0.98,22.57,23.55,0.079454,0,
EAU18-ST2,11,0,34.56,35.03,0.47,1.0,1,0.47,34.56,35.03,0.142444,0,
EAU18-ST2,12,0,37.07,37.87,0.8,1.0,1,0.8,37.07,37.87,0.071753,0,
EAU18-ST2,13,0,38.27,38.55,0.28,1.0,1,0.28,38.27,38.55,0.04944,0,
EAU18-ST2,15,0,41.77,42.38,0.61,1.0,1,0.61,41.77,42.38,0.049258,0,
EAU18-ST2,17,0,46.8,47.17,0.37,1.0,1,0.37,46.8,47.17,0.168287,0,
EAU18-ST2,19,0,52.79,52.94,0.15,1.0,1,0.15,52.79,52.94,0.052042,0,
EAU18-ST2,27,0,81.89,82.2,0.31,1.0,1,0.31,81.89,82.2,0.132521,0,
EAU18-ST2,28,0,83.41,83.68,0.27,1.0,1,0.27,83.41,83.68,0.065072,0,
EAU18-ST2,29,0,84.05,84.62,0.57,1.0,1,0.57,84.05,84.62,0.230902,0,
EAU18-ST2,31,0,87.53,87.79,0.26,1.0,1,0.26,87.53,87.79,0.072785,0,
EAU18-ST2,37,0,107.84,109.01,1.17,1.0,1,1.17,107.84,109.01,0.141193,0,
EAU18-ST2,38,0,109.18,110.28,1.1,1.0,1,1.1,109.18,110.28,0.1152,0,
EAU18-ST2,39,0,111.76,112.59,0.83,1.0,1,0.83,111.76,112.59,0.263309,0,
EAU18-ST2,40,0,113.62,113.78,0.16,1.0,1,0.16,113.62,113.78,0.10234,0,
EAU18-ST2,42,0,120.54,121.63,1.09,1.0,1,1.09,120.54,121.63,0.122929,0,
EAU18-ST2,44,0,127.4,127.63,0.23,1.0,1,0.23,127.4,127.63,0.140405,0,
EAU18-ST2,45,0,128.77,129.11,0.34,1.0,1,0.34,128.77,129.11,0.274104,0,
EAU18-ST2,46,0,130.54,130.79,0.25,1.0,1,0.25,130.54,130.79,0.095414,0,
EAU18-ST2,47,0,132.95,134.04,1.09,1.0,1,1.09,132.95,134.04,0.099566,0,
EAU18-ST2,48,0,134.2,134.99,0.79,1.0,1,0.79,134.2,134.99,0.149578,0,
EAU18-ST2,49,0,136.66,137.13,0.47,1.0,1,0.47,136.66,137.13,0.375826,0,
EAU18-ST2,50,0,138.8,139.83,1.03,1.0,1,1.03,138.8,139.83,0.181613,0,
EAU18-ST2,51,0,140.02,140.66,0.64,1.0,1,0.64,140.02,140.66,0.095745,0,
EAU18-ST2,52,0,141.14,141.9509,0.8109,1.0,1,0.8109,141.14,141.9509,0.188288,0,
