file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_087_M_CCT_ENG_ST1,0,0,0.0,0.56,0.56,1.0,1,0.56,0.0,0.56,0.043036,0,
ALL_087_M_CCT_ENG_ST1,1,0,1.46,2.47,1.01,0.8416,2,0.352,1.492,1.844,0.032665,0,
ALL_087_M_CCT_ENG_ST1,1,1,1.46,2.47,1.01,0.8416,2,0.498,1.972,2.47,0.024567,0,
ALL_087_M_CCT_ENG_ST1,2,0,3.21,3.65,0.44,1.0,1,0.44,3.21,3.65,0.095385,0,
ALL_087_M_CCT_ENG_ST1,3,0,4.5,5.45,0.95,1.0,1,0.95,4.5,5.45,0.057333,0,
ALL_087_M_CCT_ENG_ST1,6,0,9.3,10.02,0.72,1.0,1,0.72,9.3,10.02,0.037322,0,
ALL_087_M_CCT_ENG_ST1,7,0,10.68,10.96,0.28,1.0,1,0.28,10.68,10.96,0.041698,0,
ALL_087_M_CCT_ENG_ST1,9,0,15.84,15.98,0.14,1.0,1,0.14,15.84,15.98,0.034976,0,
ALL_087_M_CCT_ENG_ST1,10,0,16.34,17.4,1.06,1.0,1,1.06,16.34,17.4,0.045164,0,
ALL_087_M_CCT_ENG_ST1,11,0,18.09,18.87,0.78,1.0,1,0.78,18.09,18.87,0.046653,0,
ALL_087_M_CCT_ENG_ST1,13,0,22.96,23.11,0.15,1.0,1,0.15,22.96,23.11,0.08123,0,
ALL_087_M_CCT_ENG_ST1,14,0,23.55,23.8,0.25,1.0,1,0.25,23.55,23.8,0.026466,0,
ALL_087_M_CCT_ENG_ST1,15,0,24.86,25.85,0.99,1.0,1,0.99,24.86,25.85,0.029804,0,
ALL_087_M_CCT_ENG_ST1,16,0,26.54,26.77,0.23,1.0,1,0.23,26.54,26.77,0.049548,0,
ALL_087_M_CCT_ENG_ST1,17,0,27.53,28.62,1.09,1.0,1,1.09,27.53,28.62,0.054033,0,
ALL_087_M_CCT_ENG_ST1,19,0,33.29,34.13,0.84,1.0,1,0.84,33.29,34.13,0.051563,0,
ALL_087_M_CCT_ENG_ST1,20,0,34.4,34.92,0.52,1.0,1,0.52,34.4,34.92,0.049227,0,
ALL_087_M_CCT_ENG_ST1,21,0,36.29,36.66,0.37,1.0,1,0.37,36.29,36.66,0.054872,0,
ALL_087_M_CCT_ENG_ST1,22,0,37.23,38.4,1.17,1.0,1,1.17,37.23,38.4,0.03722,0,
ALL_087_M_CCT_ENG_ST1,23,0,38.68,39.11,0.43,1.0,1,0.43,38.68,39.11,0.08216,0,
ALL_087_M_CCT_ENG_ST1,24,0,40.1,40.41,0.31,1.0,1,0.31,40.1,40.41,0.034697,0,
ALL_087_M_CCT_ENG_ST1,25,0,41.49,42.52,1.03,1.0,1,1.03,41.49,42.52,0.078568,0,
ALL_087_M_CCT_ENG_ST1,27,0,46.01,47.15,1.14,1.0,1,1.14,46.01,47.15,0.050995,0,
ALL_087_M_CCT_ENG_ST1,28,0,47.92,48.15,0.23,1.0,1,0.23,47.92,48.15,0.048823,0,
ALL_087_M_CCT_ENG_ST1,29,0,49.5,49.73,0.23,1.0,1,0.23,49.5,49.73,0.053589,0,
ALL_087_M_CCT_ENG_ST1,31,0,53.64,53.99,0.35,1.0,1,0.35,53.64,53.99,0.028806,0,
ALL_087_M_CCT_ENG_ST1,32,0,54.36,55.45,1.09,1.0,1,1.09,54.36,55.45,0.061125,0,
ALL_087_M_CCT_ENG_ST1,34,0,57.98,58.16,0.18,1.0,1,0.18,57.98,58.16,0.046801,0,
ALL_087_M_CCT_ENG_ST1,36,0,60.68,61.42,0.74,1.0,1,0.74,60.68,61.42,0.054789,0,
ALL_087_M_CCT_ENG_ST1,37,0,62.36,62.6,0.24,1.0,1,0.24,62.36,62.6,0.044886,0,
ALL_087_M_CCT_ENG_ST1,39,0,66.23,66.84,0.61,1.0,1,0.61,66.23,66.84,0.039379,0,
ALL_087_M_CCT_ENG_ST1,40,0,67.62,68.08,0.46,1.0,1,0.46,67.62,68.08,0.022954,0,
ALL_087_M_CCT_ENG_ST1,42,0,70.62,71.19,0.57,1.0,1,0.57,70.62,71.19,0.041656,0,
ALL_087_M_CCT_ENG_ST1,43,0,72.37,72.75,0.38,1.0,1,0.38,72.37,72.75,0.053341,0,
ALL_087_M_CCT_ENG_ST1,46,0,77.95,78.65,0.7,1.0,1,0.7,77.95,78.65,0.044905,0,
ALL_087_M_CCT_ENG_ST1,47,0,80.15,80.69,0.54,1.0,1,0.54,80.15,80.69,0.04461,0,
ALL_087_M_CCT_ENG_ST1,50,0,87.42,87.99,0.57,1.0,1,0.57,87.42,87.99,0.040873,0,
ALL_087_M_CCT_ENG_ST1,51,0,88.25,88.81,0.56,1.0,1,0.56,88.25,88.81,0.037844,0,
ALL_087_M_CCT_ENG_ST1,52,0,89.59,89.89,0.3,1.0,1,0.3,89.59,89.89,0.038813,0,
ALL_087_M_CCT_ENG_ST1,53,0,90.7,91.5841,0.8841,1.0,1,0.8841,90.7,91.5841,0.055903,0,
