file_id,gap_index,island_index,gap_start,gap_end,gap_duration,vad_occupancy,n_voiced_islands,island_duration,candidate_start,candidate_end,prob_filler,pred_filler,skip_reason
ALL_029_M_TUR_ENG_ST1,0,0,0.0,0.41,0.41,1.0,1,0.41,0.0,0.41,0.018337,0,
ALL_029_M_TUR_ENG_ST1,1,0,2.44,3.2,0.76,1.0,1,0.76,2.44,3.2,0.07691,0,
ALL_029_M_TUR_ENG_ST1,2,0,4.12,4.56,0.44,1.0,1,0.44,4.12,4.56,0.038435,0,
ALL_029_M_TUR_ENG_ST1,3,0,5.44,5.92,0.48,1.0,1,0.48,5.44,5.92,0.027944,0,
ALL_029_M_TUR_ENG_ST1,4,0,7.72,8.21,0.49,1.0,1,0.49,7.72,8.21,0.043888,0,
ALL_029_M_TUR_ENG_ST1,5,0,8.87,9.24,0.37,1.0,1,0.37,8.87,9.24,0.157099,0,
ALL_029_M_TUR_ENG_ST1,6,0,9.86,10.54,0.68,1.0,1,0.68,9.86,10.54,0.065942,0,
ALL_029_M_TUR_ENG_ST1,7,0,12.06,12.2,0.14,1.0,1,0.14,12.06,12.2,0.008659,0,
ALL_029_M_TUR_ENG_ST1,8,0,12.82,13.96,1.14,1.0,1,1.14,12.82,13.96,0.134317,0,
ALL_029_M_TUR_ENG_ST1,9,0,15.79,15.96,0.17,1.0,1,0.17,15.79,15.96,0.120811,0,
ALL_029_M_TUR_ENG_ST1,10,0,17.52,18.53,1.01,1.0,1,1.01,17.52,18.53,0.07475,0,
ALL_029_M_TUR_ENG_ST1,11,0,19.03,19.21,0.18,1.0,1,0.18,19.03,19.21,0.038993,0,
ALL_029_M_TUR_ENG_ST1,12,0,19.97,20.5,0.53,0.9358,1,0.496,19.97,20.466,0.046521,0,
ALL_029_M_TUR_ENG_ST1,13,0,21.54,22.65,1.11,1.0,1,1.11,21.54,22.65,0.161086,0,
ALL_029_M_TUR_ENG_ST1,15,0,24.88,25.66,0.78,1.0,1,0.78,24.88,25.66,0.028611,0,
ALL_029_M_TUR_ENG_ST1,16,0,26.5,27.02,0.52,1.0,1,0.52,26.5,27.02,0.059335,0,
ALL_029_M_TUR_ENG_ST1,17,0,27.19,28.0,0.81,1.0,1,0.81,27.19,28.0,0.054334,0,
ALL_029_M_TUR_ENG_ST1,18,0,29.39,30.28,0.89,0.3348,2,0.176,29.39,29.566,0.037496,0,
ALL_029_M_TUR_ENG_ST1,18,1,29.39,30.28,0.89,0.3348,2,0.122,30.158,30.28,0.082606,0,
ALL_029_M_TUR_ENG_ST1,19,0,31.41,31.72,0.31,1.0,1,0.31,31.41,31.72,0.147718,0,
ALL_029_M_TUR_ENG_ST1,21,0,35.08,35.33,0.25,1.0,1,0.25,35.08,35.33,0.069596,0,
ALL_029_M_TUR_ENG_ST1,22,0,36.56,37.05,0.49,1.0,1,0.49,36.56,37.05,0.034059,0,
ALL_029_M_TUR_ENG_ST1,23,0,37.54,38.14,0.6,1.0,1,0.6,37.54,38.14,0.041158,0,
ALL_029_M_TUR_ENG_ST1,24,0,38.73,38.91,0.18,1.0,1,0.18,38.73,38.91,0.176408,0,
ALL_029_M_TUR_ENG_ST1,25,0,40.22,41.02,0.8,1.0,1,0.8,40.22,41.02,0.091492,0,
ALL_029_M_TUR_ENG_ST1,26,0,42.23,43.14,0.91,1.0,1,0.91,42.23,43.14,0.080777,0,
ALL_029_M_TUR_ENG_ST1,27,0,43.38,43.56,0.18,1.0,1,0.18,43.38,43.56,0.007953,0,
ALL_029_M_TUR_ENG_ST1,29,0,46.51,46.76,0.25,1.0,1,0.25,46.51,46.76,0.062443,0,
ALL_029_M_TUR_ENG_ST1,30,0,47.36,47.69,0.33,1.0,1,0.33,47.36,47.69,0.151824,0,
ALL_029_M_TUR_ENG_ST1,32,0,50.37,50.52,0.15,1.0,1,0.15,50.37,50.52,0.062329,0,
ALL_029_M_TUR_ENG_ST1,33,0,51.38,52.02,0.64,1.0,1,0.64,51.38,52.02,0.040286,0,
ALL_029_M_TUR_ENG_ST1,35,0,55.88,56.81,0.93,1.0,1,0.93,55.88,56.81,0.065726,0,
ALL_029_M_TUR_ENG_ST1,37,0,60.24,60.97,0.73,1.0,1,0.73,60.24,60.97,0.02984,0,
ALL_029_M_TUR_ENG_ST1,38,0,61.4,61.8,0.4,1.0,1,0.4,61.4,61.8,0.042613,0,
ALL_029_M_TUR_ENG_ST1,39,0,62.08,62.634,0.554,1.0,1,0.554,62.08,62.634,0.036602,0,
